id,adresse IP,site,temps passé
1,21.209.250.237,Pinterest,136.2
2,21.209.250.237,X,168.3
3,21.209.250.237,Facebook Messenger,128.3
4,21.209.250.237,Twitch,71.7
5,21.209.250.237,YouTube,519.5
6,170.222.147.220,Instagram,509.4
7,170.222.147.220,YouTube,638.3
8,170.222.147.220,Snapchat,182.6
9,170.222.147.220,WeChat,77.5
10,57.131.168.14,Facebook Messenger,210.4
11,57.131.168.14,TikTok,265.3
12,95.175.101.178,Facebook,184.7
13,95.175.101.178,YouTube,759.8
14,95.175.101.178,LinkedIn,161.7
15,95.175.101.178,QQ,52.1
16,95.175.101.178,TikTok,264.7
17,95.177.86.211,QQ,33.4
18,95.177.86.211,WeChat,119.8
19,181.140.169.188,Facebook Messenger,154.1
20,181.140.169.188,X,140.2
21,181.140.169.188,YouTube,504.2
22,181.140.169.188,Instagram,185.4
23,181.140.169.188,QQ,35.7
24,236.139.212.58,WeChat,107.0
25,236.139.212.58,Facebook,192.3
26,116.69.72.158,TikTok,342.3
27,116.69.72.158,Pinterest,97.8
28,139.221.184.145,QQ,51.9
29,139.221.184.145,Snapchat,166.8
30,139.221.184.145,Twitch,112.5
31,139.221.184.145,WhatsApp,313.6
32,139.221.184.145,Instagram,245.5
33,139.221.184.145,WeChat,91.9
34,221.177.185.144,TikTok,351.3
35,221.177.185.144,YouTube,654.1
36,221.177.185.144,Pinterest,82.9
37,221.177.185.144,Twitch,152.1
38,14.142.158.34,Instagram,299.1
39,14.142.158.34,Facebook Messenger,124.3
40,204.85.58.190,LinkedIn,163.6
41,204.85.58.190,Instagram,321.6
42,42.221.22.39,QQ,46.6
43,42.221.22.39,Pinterest,71.5
44,42.221.22.39,Facebook Messenger,165.1
45,42.221.22.39,LinkedIn,162.1
46,42.221.22.39,Facebook,207.5
47,163.251.41.105,Twitch,67.3
48,163.251.41.105,Pinterest,54.1
49,140.7.53.212,WeChat,102.1
50,140.7.53.212,Snapchat,228.6
51,140.7.53.212,TikTok,472.7
52,140.7.53.212,Facebook Messenger,171.7
53,26.65.108.116,Snapchat,201.2
54,26.65.108.116,Facebook,119.2
55,26.65.108.116,LinkedIn,138.1
56,247.125.55.252,Instagram,188.0
57,247.125.55.252,Facebook Messenger,176.8
58,247.125.55.252,WhatsApp,337.9
59,247.125.55.252,QQ,72.5
60,247.125.55.252,X,209.8
61,247.125.55.252,WeChat,132.8
62,167.242.195.103,TikTok,296.1
63,167.242.195.103,Facebook Messenger,151.8
64,167.242.195.103,WhatsApp,270.7
65,63.187.217.249,TikTok,339.4
66,190.160.158.210,Facebook Messenger,181.1
67,190.160.158.210,Snapchat,285.6
68,190.160.158.210,Pinterest,104.3
69,190.160.158.210,Instagram,91.4
70,190.160.158.210,WeChat,89.8
71,190.160.158.210,QQ,47.9
72,52.251.146.2,X,141.8
73,52.251.146.2,Twitch,38.1
74,52.251.146.2,WeChat,102.7
75,52.251.146.2,YouTube,491.6
76,52.251.146.2,Snapchat,138.6
77,52.251.146.2,Facebook,210.1
78,52.251.146.2,Instagram,239.9
79,52.251.146.2,LinkedIn,152.0
80,201.73.53.251,Instagram,99.1
81,201.73.53.251,LinkedIn,135.4
82,201.73.53.251,WhatsApp,356.0
83,201.73.53.251,Twitch,100.3
84,201.73.53.251,QQ,55.6
85,114.119.206.141,YouTube,506.0
86,87.176.255.210,X,139.0
87,99.88.90.215,Snapchat,214.8
88,99.88.90.215,WhatsApp,236.8
89,99.88.90.215,QQ,46.1
90,99.88.90.215,LinkedIn,117.5
91,99.88.90.215,WeChat,59.3
92,99.88.90.215,Pinterest,73.7
93,187.21.191.59,LinkedIn,162.5
94,187.21.191.59,YouTube,331.8
95,187.21.191.59,X,162.8
96,187.21.191.59,Snapchat,197.2
97,111.75.65.156,Facebook,65.9
98,111.75.65.156,Pinterest,104.1
99,111.75.65.156,WhatsApp,320.1
100,111.75.65.156,LinkedIn,136.0
101,111.75.65.156,TikTok,156.7
102,111.75.65.156,QQ,58.2
103,111.75.65.156,YouTube,549.3
104,15.50.132.15,Facebook Messenger,125.3
105,15.50.132.15,YouTube,615.6
106,15.50.132.15,Twitch,103.8
107,177.89.43.23,Twitch,75.4
108,177.89.43.23,WhatsApp,234.5
109,184.215.169.110,Snapchat,448.9
110,88.253.126.143,Facebook Messenger,197.7
111,88.253.126.143,QQ,42.6
112,88.253.126.143,YouTube,596.4
113,88.253.126.143,Facebook,179.8
114,7.99.110.133,Instagram,323.7
115,7.99.110.133,Pinterest,106.9
116,7.99.110.133,QQ,53.5
